UniqueFlyID,CaterpillarID,FlyID,Sex,WanderWeight,HeadCapsuleWidth,WanderDate,SiblingNumber,NutritionIndex,FlyWeight,HeadWeight,ThoraxWeight,AbWeight,WingWeight,LegsWeight,WingIntact,Comments
36,8,2,M,7.5607,6.32,2017-08-18,,,NA,NA,8.124,2.501,0.224,0.983,TRUE,
100,8,1,M,7.5607,6.32,2017-08-18,,,15.371,1.374,9.266,3.36,0.291,1.195,TRUE,
98,9,3,M,5.4712,6.03,2017-08-18,,,11.971,1.098,6.976,2.814,0.19,0.888,FALSE,
34,9,4,F,NA,6.07,NA,,,8.722,1.045,4.438,2.202,0.217,0.842,TRUE,
52,9,12,F,NA,6.07,NA,,,12.352,1.153,6.088,3.98,0.17,0.949,FALSE,
56,9,13,M,NA,6.07,NA,,,10.529,0.982,6.57,1.944,0.17,0.865,TRUE,
59,9,18,F,NA,6.07,NA,,,7.636,0.801,3.892,2.142,0.131,0.662,FALSE,Couldn't find tube. Put it inside an Eppendorf tube
62,9,1,M,NA,6.07,NA,,,15.579,1.588,6.41,6.682,0.141,0.772,FALSE,
69,9,2,M,NA,6.07,NA,,,NA,1.041,6.213,3.129,0.221,NA,FALSE,
70,9,8,F,NA,6.07,NA,,,NA,0.915,4.396,2.859,NA,0.773,FALSE,
73,9,14,F,NA,6.07,NA,,,8.713,0.87,4.405,2.594,0.126,0.747,TRUE,
75,9,5,F,NA,6.07,NA,,,8.075,0.846,4.81,1.465,0.146,0.753,TRUE,
76,9,10,F,NA,6.07,NA,,,NA,1.313,5.253,3.449,NA,1.044,FALSE,
77,9,11,F,NA,6.07,NA,,,11.59,1.079,5.333,4.15,0.177,0.837,TRUE,
80,9,9,F,NA,6.07,NA,,,12.003,1.071,5.456,4.239,0.235,0.916,TRUE,Wrinkled wings
97,9,7,M,NA,6.07,NA,,,8.771,0.957,5.232,1.66,0.133,0.792,FALSE,
99,9,6,M,NA,6.07,NA,,,12.486,1.085,6.09,4.224,0.183,0.93,FALSE,
1,10,5,F,7.8212,6.29,2017-08-19,,,9.348,1.066,4.769,2.654,0.136,0.809,TRUE,
2,10,2,F,7.8212,6.29,2017-08-19,,,14.567,1.494,6.328,5.524,0.202,0.995,TRUE,
3,10,6,F,7.8212,6.29,2017-08-19,,,16.591,1.754,6.92,6.69,0.206,1.018,TRUE,
4,10,4,M,7.8212,6.29,2017-08-19,,,13.57,1.344,7.977,3.065,0.219,0.961,TRUE,
5,10,3,M,7.8212,6.29,2017-08-19,,,14.564,1.408,6.561,5.375,0.228,1,TRUE,
