sample ID (non-skin content),head capsule width (mm),frozen weight (g),part,sample weight (g),spike weight(g),gross heat (cal/g),cal,note
C2(non-skin),5.82,12.9,non-skin content,,,,,
C3(non-skin),5.98,11.2,non-skin content,,,,,
C4(non-skin),5.78,10.8,non-skin content,,,,,
C5(non-skin),6.39,12.8,non-skin content,,,,,
C6(non-skin),5.84,12.8,non-skin content,,,,,
C7(non-skin),6.18,10.671,non-skin content,1.1809,,,7175.582824,
C8(non-skin),5.95,9.072,non-skin content,0.9621,,,5638.344909,
C9(non-skin),5.75,10.537,non-skin content,1.1274,,,6818.054609,
C10(non-skin),5.78,10.28,non-skin content,1.1298,,,6893.499544,
C11(non-skin),5.97,11.052,non-skin content,1.3736,,,8361.157674,
C12(non-skin),6.02,11.192,non-skin content,,,,,
C13(non-skin),5.91,11.21,non-skin content,1.168,,,7003.876265,
C14(non-skin),5.66,10.193,non-skin content,1.2364,,,7436.202656,
C15(non-skin),5.29,10.895,non-skin content,1.2047,,,7431.537162,
C16(non-skin),6.02,10.176,non-skin content,1.1565,,,6990.665139,
C17(non-skin),6.12,11.787,non-skin content,1.2028,,,7351.285876,
C18(non-skin),5.86,7.98,non-skin content,0.8275,,,4992.320084,
C19(non-skin),5.88,9.753,non-skin content,1.0129,,,6102.404048,
C20(non-skin),6.09,12.105,non-skin content,1.3546,,,8219.49045,
C21(non-skin),6.00,11.59,non-skin content,1.2298,,,7489.859302,
C22(non-skin),5.96,8.734,non-skin content,0.8435,,,5107.917997,
C23(non-skin),5.98,11.06,non-skin content,1.2764,,,7864.705963,
C24(non-skin) (not good),6.01,10.621,non-skin content,1.1233,0.4022,5756.0306,6465.749173,test run. exceed the configured limit. Too much spike. Still have white powder Omit?
C25 (non-skin) (not good),5.97,9.28,non-skin content,0.9765,0,6003.2052,5862.129878,"test run, gross heat is low Omit?"
