ID,tissue_weight,sex,tissue_ID,spike_weight_g,total_weight_mg,total_gross_heat,total_cal,spike_cal,sample_cal,temp rise,Comments
MS22_03,6.349,,Thorax,0.5114,0.517749,10861.205,5623.378028,5641.5632,-18.18517245,,
MS22_02,6.246,,Thorax,0.5099,0.516146,10907.472,5629.848043,5625.2387,4.609342912,,
MS24_16,7.965,Female,Thorax,0.5001,0.508065,10893.632,5534.673142,5518.5853,16.08784208,,
MS24_05_04_comb,2.909,Female,Head,0.4542,0.457109,10952.397,5006.43924,5019.0556,-12.61635973,2.1175,
MS22_24_comb,4.567,Female,Head,0.510233,0.5148,11174.032,5752.391674,5628.862739,123.5289346,2.4292,Messed up procedure a little bit - questionable
MS14_08_comb,10.422,Female,Abdomen,0.5045,0.514922,10909.893,5617.743923,5566.4705,51.27342335,2.373,
MS09_04_comb,4.522,Female,Head,0.5053,0.509822,10932.034,5573.391438,5575.1769,-1.785462052,2.3544,
MS09_03_comb,6.173,Male,Abdomen,0.5101,0.516273,10919.259,5637.318602,5627.4153,9.903301707,2.3812,
MS14_01_comb,7.271,Male,Head,0.502,0.509271,11647.552,5931.760455,5539.263,392.4974546,2.5042,
MS09_07_comb,14.464,Male,Abdomen,0.5198,0.534264,10877.677,5811.551225,5732.9804,78.57082473,2.454,
MS14_06_comb,14.233,Male,Thorax,0.503,0.517233,10842.872,5608.291213,5550.146,58.14521318,2.369,
MS09_11_comb,12.069,Female,Thorax,0.5128,0.524869,10834.326,5686.601853,5656.7994,29.80245329,2.4018,
MS09_07_comb,27.304,Male,Thorax,0.5337,0.561004,10732.434,6020.938404,5884.2541,136.6843037,2.5415,
MS09_08_comb,19.544,Female,Thorax,0.5227,0.542244,10757.985,5833.452818,5764.5411,68.91171834,2.4631,
MS09_09_comb,6.977,Female,Head,0.526,0.532977,10908.707,5814.089931,5800.455,13.63493074,2.455,
MS14_04_comb,8.748,Male,Head,0.525,0.533748,10873.4,5803.655503,5789.572,14.0835032,2.4507,
MS09_05-comb,7.989,Female,Abdomen,0.5066,0.514589,10902.468,5610.290106,5589.3248,20.96530565,2.3699,
MS24_03_comb,6.627,Male,Head,0.5298,0.536427,10905.108,5849.794369,5841.8104,7.983969116,2.47,
MS08_01_comb,15.863,Male,Thorax,0.5171,0.532963,10810.19,5761.431293,5703.5963,57.83499297,2.433,
MS09_14_comb,10.122,Female,Thorax,0.5222,0.532322,10889.1,5796.50749,5759.0996,37.4078902,2.4477,
MS24_07_comb,6.747,Female,Head,0.5221,0.528847,10872.147,5749.702325,5758.0113,-8.308975491,2.4281,
MS09_10_comb,6.502,Female,Abdomen,0.5107,0.517202,10930.857,5653.461102,5633.9451,19.51600211,2.3879,
MS14_02_comb,9.699,Male,Abdomen,0.5212,0.530899,10924.046,5799.565097,5748.2166,51.34849735,2.449,
